GridName, MainOwner, TotalDamage, PrimaryDamage, AOEDamage, ShieldDamage, ProjectileDamage
(NPC-CD) Skiff Drone, , 379799, 379799, 0, 0, 0
(NPC-CD) Trident Drone (H), , 21114, 21114, 0, 0, 0
(NPC-CD) Orca Drone, , 8057, 8057, 0, 0, 0
(NPC-ACS) Wasp Drone Mk2, , 52365, 15, 52350, 0, 0
(NPC-CD) Trident Drone (H), , 41254, 4, 41250, 0, 0
(NPC-CD) Viper Drone (H), , 69665, 15, 69650, 0, 0
, , 1224, 1224, 0, 0, 0
(NPC-RVR) Impaler, , 53544, 0, 0, 53544, 0
(NPC-ACS) Callisto-T, , 14104, 304, 0, 13800, 0
(NPC-CD) Trident Drone (H), , 17975, 17975, 0, 0, 0
(NPC-CD) Skiff Drone, , 42457, 22007, 20450, 0, 0
(NPC-ACS) Carryall 01, , 416550, 450, 0, 416100, 0
(NPC-ORK) Heavy Fighta, , 338204, 0, 0, 338204, 0
(NPC-CD) Trident Drone (H), , 27605, 6005, 9600, 12000, 0
(NPC-CD) Orca Drone, , 3802, 2, 3800, 0, 0
(NPC-CD) Viper Drone (H), , 11350, 11350, 0, 0, 0
(NPC-CD) Viper Drone (H), , 2100, 2100, 0, 0, 0
, , 1015, 1015, 0, 0, 0
(NPC-CD) Skiff Drone, , 270, 270, 0, 0, 0
(NPC-CD) Viper Drone (H), , 73413, 37113, 36300, 0, 0
(NPC-CD) Trident Drone (H), , 18536, 18536, 0, 0, 0
(NPC-CD) Trident Drone (H), , 12751, 10801, 1950, 0, 0
(NPC-CD) Skiff Drone, , 175786, 175786, 0, 0, 0
(NPC-CD) Orca Drone, , 3240, 540, 2700, 0, 0
