Name, BaseDamage, BaseDamageType, AreaDamageType, DetDamageType, ShieldDamageType, LargeGridModifier, SmallGridModifier, ArmorModifier, LightArmorModifier, HeavyArmorModifier, NonArmorModifier, ShieldsModifier, ShieldBypass, FragmentName, FragmentQuanty, FragmentDegrees, BBHRadius, BBHDamage, BBHDepth, BBHMaxAbsorb, BBHFalloff, EOLRadius, EOLDamage, EOLDepth, EOLMaxAbsorb, EOLFalloff, AccelPerSec, MaxSpeed, MaxTrajectory, MaxLifeTime
NDeU_Ammo, 50.5, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 777, 1200, 0
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
NDeU_Ammo, 50.5, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 777, 1200, 0
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
NDeU_Ammo, 50.5, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 777, 1200, 0
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
NDeU_Ammo, 50.5, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 777, 1200, 0
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
NDeU_Ammo, 50.5, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 777, 1200, 0
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
NDeU_Ammo, 50.5, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 777, 1200, 0
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
NDeU_Ammo, 50.5, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 777, 1200, 0
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
NDeU_Ammo, 50.5, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 777, 1200, 0
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.7, 1.2, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 5, 500, 1, 0, Linear, 200, 200, 2500, 1200
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.7, 1.2, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 5, 500, 1, 0, Linear, 200, 200, 2500, 1200
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.7, 1.2, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 5, 500, 1, 0, Linear, 200, 200, 2500, 1200
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.7, 1.2, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 5, 500, 1, 0, Linear, 200, 200, 2500, 1200
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.7, 1.2, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 5, 500, 1, 0, Linear, 200, 200, 2500, 1200
200mm Missile, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.7, 1.2, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 5, 500, 1, 0, Linear, 200, 200, 2500, 1200
MR-50A, 30, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.3, 0.1, -1, 0.2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 600, 400, 100
5.56x45mm, 30, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.3, 0.1, -1, 0.2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 600, 400, 100
Autocannon Shell, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 0.6, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 600, 2500, 420
Autocannon Shell, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 0.6, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 600, 2500, 420
Assault Cannon Shell, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 600, 3000, 480
Assault Cannon Shell, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 600, 3000, 480
Assault Cannon Shell, 4000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 3, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 600, 3000, 480
Artillery Shell, 17000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 4, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 500, 3500, 600
Artillery Shell, 17000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 4, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 500, 3500, 600
Large Railgun Slug, 50000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 5, -1, None, 0, 0, 5, 5, 1, 0, Pooled, 0, 0, 0, 0, NoFallOff, 0, 2000, 5000, 300
Small Railgun Slug, 8000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 3500, 300
