06-01-23_03-01-57-000 - Logging Started
03-02-20-835 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[6] Targ:[6] Bloc:[0] Aim:[6] CCast:[0] RndCast[0] TopCast[0]
03-03-51-078 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-54-079 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-03-57-079 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-00-078 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-03-079 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-06-079 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-09-078 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-12-079 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-15-078 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-18-156 - (STATS) -------- AIs:[17] - WcBlocks:[125] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-21-079 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-24-078 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-27-079 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-30-078 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-33-078 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-36-078 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-39-079 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-42-079 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-45-079 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-48-080 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-51-078 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-54-079 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-04-57-078 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-00-172 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-05-165 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-08-702 - (STATS) -------- AIs:[18] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-11-701 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-14-701 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-17-701 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-20-704 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-23-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-26-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-29-787 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-32-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-35-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-38-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-41-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-44-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-47-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-50-791 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-53-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-56-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-05-59-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-02-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-05-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-08-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-11-787 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-14-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-17-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-20-792 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-23-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-26-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-29-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-32-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-35-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-38-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-41-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-44-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-47-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-50-790 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-53-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-56-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-06-59-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-02-789 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-05-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-08-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-11-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-14-788 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-18-039 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-21-039 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-24-039 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-27-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-30-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-33-041 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-36-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-39-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-42-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-45-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-48-039 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-51-042 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-54-039 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-07-57-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-00-039 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-03-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-06-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-09-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-12-039 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-15-038 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-18-039 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-21-071 - (STATS) -------- AIs:[17] - WcBlocks:[127] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-24-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-27-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-30-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-33-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-36-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-39-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-42-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-45-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-48-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-51-043 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-54-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-08-57-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-00-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-03-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-06-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-09-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-12-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-15-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-18-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-21-040 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-24-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-27-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-30-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-33-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-36-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-39-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-42-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-45-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-48-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-51-042 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-54-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-09-57-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-10-00-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-10-03-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-10-06-038 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-10-09-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-10-12-039 - (STATS) -------- AIs:[18] - WcBlocks:[131] - AiReq:[30] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
